,Title,Normalized_Show_Name,Total Hours Viewed in 2023
0,"Ada Twist, Scientist: Season 4",ada twist scientist,7700000
1,Agent Elvis: Season 1,agent elvis,6600000
2,Bake Squad: Season 2,bake squad,57600000
3,Bling Empire: New York: Season 1,bling empire new york,38700000
4,Copenhagen Cowboy: Season 1,copenhagen cowboy,8900000
5,Dance 100: Season 1,dance 100,18800000
6,Emergency: NYC: Season 1,emergency nyc,48100000
7,Freeridge: Season 1,freeridge,26700000
8,Glamorous: Season 1,glamorous,87900000
9,Invisible City: Season 2 // Cidade Invisível: Temporada 2,invisible city,33900000
10,Lockwood & Co.: Season 1,lockwood  co,129300000
11,My Dad the Bounty Hunter: Season 1,my dad the bounty hunter,86500000
12,Next in Fashion: Season 2,next in fashion,86600000
13,Oddballs: Season 2,oddballs,25300000
14,Pressure Cooker: Season 1,pressure cooker,41000000
15,Ridley Jones: Season 5,ridley jones,12200000
16,Sex/Life: Season 2,sexlife,203800000
17,Shadow and Bone: Season 2,shadow and bone,219300000
18,Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,welcome to eden,122500000
19,Wellmania: Season 1,wellmania,50900000
