,Title,Normalized_Show_Name,Total Hours Viewed in 2023
0,13 Reasons Why: Beyond the Reasons: Season 3,13 reasons why beyond the reasons,200000
1,Death by Magic: Season 1,death by magic,3000000
2,Handsome Siblings: Season 1 // 絕代雙驕: 第 1 季 // 绝代双骄: 第 1 季,handsome siblings,12900000
3,Ejen Ali: Season 2,ejen ali,800000
4,The Epic Tales of Captain Underpants: Season 3,the epic tales of captain underpants,19400000
5,Fire Force: Season 2 // 炎炎ノ消防隊: 弐ノ章,fire force,6500000
6,Dark Tourist: Season 1,dark tourist,5200000
7,Hatfields & McCoys: Season 1,hatfields  mccoys,17100000
8,All For Love: Season 1 // Amar y vivir: Temporada 1,all for love,68200000
9,Full House (1987): Season 1,full house 1987,2000000
10,Southern Survival: Season 1,southern survival,1900000
11,The Magic School Bus Rides Again: Season 2,the magic school bus rides again,7700000
12,On My Block: Season 4,on my block,20800000
13,Chef is a Great Detective: Season 1 // シェフは名探偵: シーズン1,chef is a great detective,1800000
14,Big Mouth: Season 6,big mouth,29700000
15,Heist: Season 1,heist,8100000
16,Exorcist: Season 3 // Egzorcysta: Sezon 3,exorcist,800000
17,Rokuhoudou Colorful Days: Season 1 // 鹿楓堂よついろ日和: シーズン1,rokuhoudou colorful days,500000
18,Jimmy: The True Story of a True Idiot: Season 1 // Jimmy～アホみたいなホンマの話～: シーズン1,jimmy the true story of a true idiot,1200000
19,Pinkfong Best Kids Songs: Season 1 // 핑크퐁 인기 동요: 시즌1,pinkfong best kids songs,3200000
